,faceMuscles.frontalis,faceMuscles.currogator,faceMuscles.medFrontalis,faceMuscles.orbOculi,faceMuscles.orbOculi_L,faceMuscles.orbOculi_R,faceMuscles.orbOculi_out,faceMuscles.latFrontalis,faceMuscles.latFrontalis_L,faceMuscles.latFrontalis_R,faceMuscles.LabInf,faceMuscles.zygomatic,faceMuscles.labSup,faceMuscles.labSup_AN,faceMuscles.triangularis,faceMuscles.incisivus,faceMuscles.mentalis,faceMuscles.risoriusPlatysma,faceMuscles.orbOris_loose_lo,faceMuscles.orbOris_loose_hi,faceMuscles.orbOris_tight_lo,faceMuscles.orbOris_tight_hi,faceMuscles.orbOri0s_tight_hi2,faceMuscles.orbOris_tight_lo2,faceMuscles.mouthClose,faceMuscles.orbOculi_lo,faceMuscles.buccinator,faceMuscles.orbOculi_lo_L,faceMuscles.orbOculi_lo_R,faceMuscles.labSup_L,faceMuscles.labSup_R,faceMuscles.zygomatic_L,faceMuscles.zygomatic_R,faceMuscles.risoriusPlatysma_L,faceMuscles.risoriusPlatysma_R,faceMuscles.levAnguliOris,faceMuscles.dilatorNaris,faceMuscles.Zyg_Minor,faceMuscles.mentalis_lowerLip,faceMuscles.triangularis_L,faceMuscles.triangularis_R,faceMuscles.orbOris_up_hi,faceMuscles.jawOpenComp,faceMuscles.blow,jaw.rotateZ,jaw.rotateY,jaw.translateX,blink_ctl.translateY,loBlink_ctl.translateY
689,0.012,0.344,0.279,0.042,0.000,0.000,0.000,0.000,0.049,0.000,0.014,0.016,0.000,0.000,0.430,0.706,0.000,0.118,0.283,0.185,0.137,0.000,0.071,0.116,0.000,0.016,0.199,0.000,0.000,0.000,-0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.190,0.000,0.000,0.173,0.000,0.173,0.000,0.168,0.067,0.252
690,0.012,0.344,0.282,0.033,0.000,0.000,0.000,0.000,0.049,0.000,0.014,0.019,0.000,0.000,0.430,0.706,0.000,0.118,0.283,0.185,0.137,0.000,0.071,0.116,0.000,0.016,0.199,0.000,0.000,0.000,-0.001,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.190,0.000,0.000,0.173,0.000,0.173,0.000,0.168,0.067,0.252
691,0.012,0.344,0.287,0.022,0.000,0.000,0.000,0.000,0.049,0.000,0.014,0.023,0.000,0.000,0.430,0.706,0.000,0.118,0.283,0.185,0.137,0.000,0.071,0.116,0.000,0.016,0.199,0.000,0.000,0.000,-0.001,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.190,0.000,0.000,0.173,0.000,0.173,0.000,0.168,0.067,0.252
692,0.014,0.345,0.294,0.011,0.000,0.000,0.000,0.000,0.053,0.000,0.014,0.028,0.000,0.000,0.428,0.754,0.000,0.118,0.258,0.157,0.154,0.000,0.083,0.127,0.000,0.016,0.203,0.000,0.000,0.000,-0.002,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.190,0.000,0.000,0.207,0.000,0.207,0.000,0.201,0.068,0.233
693,0.016,0.348,0.300,0.003,0.000,0.000,0.002,0.000,0.063,0.000,0.014,0.034,0.000,0.000,0.424,0.810,0.000,0.118,0.236,0.125,0.170,0.000,0.098,0.148,0.000,0.016,0.215,0.000,0.000,0.000,-0.003,0.000,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.190,0.000,0.000,0.259,0.000,0.259,0.000,0.252,0.072,0.185
694,0.018,0.352,0.307,0.000,0.000,0.000,0.005,0.000,0.075,0.000,0.018,0.046,0.000,0.000,0.418,0.810,0.000,0.120,0.269,0.140,0.163,0.000,0.095,0.159,0.000,0.016,0.232,0.000,0.000,0.000,-0.004,0.000,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.190,0.000,0.000,0.285,0.000,0.285,0.000,0.277,0.083,0.118
695,0.021,0.357,0.313,0.000,0.000,0.000,0.012,0.000,0.088,0.000,0.029,0.064,0.000,0.000,0.410,0.745,0.000,0.127,0.320,0.185,0.137,0.000,0.077,0.146,0.000,0.017,0.253,0.000,0.000,0.000,-0.005,0.000,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.190,0.000,0.000,0.262,0.000,0.262,0.000,0.255,0.103,0.044
696,0.025,0.362,0.319,0.000,0.000,0.000,0.024,0.000,0.097,0.000,0.045,0.087,0.000,0.000,0.401,0.541,0.000,0.135,0.341,0.212,0.083,0.000,0.046,0.123,0.000,0.018,0.278,0.000,0.000,0.000,-0.006,0.000,0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.190,0.000,0.000,0.209,0.000,0.209,0.000,0.204,0.134,-0.026
697,0.030,0.367,0.322,0.000,0.000,0.000,0.044,0.000,0.101,0.000,0.062,0.111,0.000,0.000,0.393,0.304,0.000,0.143,0.164,0.078,0.035,0.000,0.026,0.104,0.000,0.020,0.303,0.000,0.000,0.000,-0.007,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.190,0.000,0.000,0.195,0.000,0.195,0.000,0.189,0.187,-0.109
698,0.038,0.371,0.323,0.000,0.000,0.000,0.072,0.000,0.101,0.000,0.077,0.134,0.000,0.000,0.385,0.191,0.000,0.149,0.100,0.018,0.015,0.000,0.020,0.094,0.000,0.062,0.329,0.000,0.000,0.000,-0.008,0.000,0.058,0.000,0.000,0.000,0.000,0.000,0.000,0.190,0.000,0.000,0.225,0.000,0.225,0.000,0.219,0.259,-0.209
699,0.044,0.374,0.323,0.000,0.000,0.000,0.104,0.000,0.101,0.000,0.087,0.154,0.000,0.000,0.379,0.125,0.000,0.152,0.089,0.001,0.004,0.000,0.017,0.085,0.000,0.147,0.353,0.000,0.000,0.000,-0.010,0.000,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.190,0.000,0.000,0.249,0.000,0.249,0.000,0.242,0.336,-0.292
700,0.047,0.375,0.322,0.000,0.000,0.000,0.139,0.000,0.101,0.000,0.091,0.166,0.000,0.000,0.374,0.097,0.051,0.150,0.091,0.000,0.000,0.000,0.041,0.108,0.000,0.216,0.375,0.000,0.000,0.000,-0.011,0.000,0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.190,0.000,0.000,0.269,0.000,0.269,0.000,0.262,0.403,-0.327
701,0.047,0.375,0.320,0.000,0.000,0.000,0.172,0.000,0.101,0.000,0.076,0.161,0.000,0.000,0.373,0.087,0.146,0.132,0.076,0.000,0.000,0.000,0.086,0.160,0.041,0.247,0.392,0.000,0.000,0.000,-0.012,0.000,0.084,0.000,0.000,0.000,0.000,0.000,0.000,0.190,0.000,0.000,0.250,0.000,0.250,0.000,0.243,0.446,-0.323
702,0.045,0.373,0.317,0.000,0.000,0.000,0.201,0.000,0.100,0.000,0.062,0.141,0.000,0.000,0.374,0.077,0.197,0.100,0.052,0.007,0.000,0.000,0.110,0.184,0.118,0.263,0.403,0.000,0.000,0.000,-0.013,0.000,0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.190,0.000,0.000,0.179,0.000,0.179,0.000,0.179,0.466,-0.309
703,0.044,0.370,0.313,0.000,0.000,0.000,0.223,0.000,0.098,0.000,0.077,0.122,0.000,0.000,0.376,0.068,0.188,0.065,0.041,0.024,0.000,0.000,0.103,0.170,0.160,0.268,0.407,0.000,0.000,0.000,-0.014,0.000,0.102,0.000,0.000,0.000,0.000,0.000,0.000,0.190,0.000,0.000,0.099,0.000,0.099,0.000,0.114,0.476,-0.289
704,0.041,0.367,0.309,0.000,0.000,0.000,0.238,0.000,0.095,0.000,0.125,0.117,0.000,0.000,0.381,0.058,0.167,0.039,0.053,0.046,0.000,0.000,0.080,0.135,0.131,0.259,0.396,0.000,0.000,0.000,-0.015,0.000,0.110,0.000,0.000,0.000,0.000,0.000,0.000,0.190,0.000,0.000,0.060,0.000,0.060,0.000,0.095,0.479,-0.264
705,0.038,0.363,0.304,0.000,0.000,0.000,0.249,0.000,0.092,0.000,0.188,0.126,0.000,0.000,0.386,0.067,0.147,0.022,0.099,0.107,0.000,0.000,0.008,0.038,0.066,0.237,0.365,0.000,0.000,0.000,-0.016,0.000,0.119,0.000,0.000,0.000,0.000,0.000,0.000,0.190,0.000,0.000,0.037,0.000,0.037,0.000,0.099,0.480,-0.234
706,0.035,0.358,0.299,0.000,0.000,0.000,0.256,0.000,0.088,0.000,0.236,0.134,0.000,0.000,0.392,0.086,0.138,0.010,0.141,0.161,0.000,0.000,0.008,0.037,0.001,0.208,0.321,0.000,0.000,0.000,-0.016,0.000,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.190,0.000,0.000,0.045,0.000,0.045,0.000,0.133,0.447,-0.202
707,0.032,0.352,0.294,0.000,0.000,0.000,0.260,0.000,0.085,0.000,0.255,0.142,0.000,0.000,0.399,0.085,0.138,0.003,0.147,0.166,0.000,0.000,0.008,0.037,0.001,0.177,0.269,0.000,0.000,0.000,-0.017,0.000,0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.190,0.000,0.000,0.048,0.000,0.048,0.000,0.153,0.368,-0.168
708,0.029,0.346,0.288,0.000,0.000,0.000,0.263,0.000,0.082,0.000,0.247,0.149,0.000,0.000,0.406,0.083,0.138,0.001,0.142,0.159,0.000,0.000,0.008,0.037,0.001,0.151,0.214,0.000,0.000,0.000,-0.017,0.000,0.140,0.000,0.000,0.000,0.000,0.000,0.000,0.190,0.000,0.000,0.046,0.000,0.046,0.000,0.165,0.268,-0.135
