,faceMuscles.frontalis,faceMuscles.currogator,faceMuscles.medFrontalis,faceMuscles.orbOculi,faceMuscles.orbOculi_L,faceMuscles.orbOculi_R,faceMuscles.orbOculi_out,faceMuscles.latFrontalis,faceMuscles.latFrontalis_L,faceMuscles.latFrontalis_R,faceMuscles.LabInf,faceMuscles.zygomatic,faceMuscles.labSup,faceMuscles.labSup_AN,faceMuscles.triangularis,faceMuscles.incisivus,faceMuscles.mentalis,faceMuscles.risoriusPlatysma,faceMuscles.orbOris_loose_lo,faceMuscles.orbOris_loose_hi,faceMuscles.orbOris_tight_lo,faceMuscles.orbOris_tight_hi,faceMuscles.orbOri0s_tight_hi2,faceMuscles.orbOris_tight_lo2,faceMuscles.mouthClose,faceMuscles.orbOculi_lo,faceMuscles.buccinator,faceMuscles.orbOculi_lo_L,faceMuscles.orbOculi_lo_R,faceMuscles.labSup_L,faceMuscles.labSup_R,faceMuscles.zygomatic_L,faceMuscles.zygomatic_R,faceMuscles.risoriusPlatysma_L,faceMuscles.risoriusPlatysma_R,faceMuscles.levAnguliOris,faceMuscles.dilatorNaris,faceMuscles.Zyg_Minor,faceMuscles.mentalis_lowerLip,faceMuscles.triangularis_L,faceMuscles.triangularis_R,faceMuscles.orbOris_up_hi,faceMuscles.jawOpenComp,faceMuscles.blow,jaw.rotateZ,jaw.rotateY,jaw.translateX,blink_ctl.translateY,loBlink_ctl.translateY
1275,0.246,0.000,0.000,0.134,0.000,0.000,0.000,0.000,0.000,-0.003,0.000,0.627,0.000,0.000,0.294,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.300,-0.001,0.000,0.000,0.000,0.000,0.377,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.140,0.000,0.140,0.000,0.136,0.000,0.000
1276,0.246,0.000,0.000,0.133,0.000,0.000,0.000,0.000,-0.001,0.046,0.000,0.606,0.000,0.000,0.294,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.300,-0.001,0.000,0.000,0.000,0.000,0.377,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.142,0.000,0.142,0.000,0.138,0.000,0.000
1277,0.245,0.000,0.000,0.123,0.000,0.000,0.000,0.000,-0.003,0.145,0.000,0.594,0.000,0.000,0.294,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.300,-0.001,0.000,0.000,0.000,0.000,0.377,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.147,0.000,0.147,0.000,0.143,0.000,0.000
1278,0.245,0.000,0.000,0.079,0.000,0.000,0.000,0.000,-0.005,0.246,0.000,0.584,0.000,0.000,0.293,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.299,-0.001,0.000,0.000,0.000,0.000,0.377,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.150,0.000,0.150,0.000,0.146,0.000,0.000
1279,0.245,0.000,0.000,0.067,0.000,0.000,0.000,0.000,-0.004,0.302,0.000,0.574,0.000,0.000,0.293,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.298,-0.001,0.000,0.000,0.000,0.000,0.377,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.151,0.000,0.151,0.000,0.147,0.000,0.000
1280,0.245,0.000,0.000,0.060,0.000,0.000,0.000,0.000,0.000,0.315,0.000,0.566,0.000,0.000,0.293,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.297,-0.001,0.000,0.000,0.000,0.000,0.377,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.152,0.000,0.152,0.000,0.148,0.000,0.000
1281,0.245,0.000,0.000,0.053,0.000,0.000,0.000,0.000,0.008,0.323,0.000,0.561,0.000,0.000,0.293,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.296,-0.001,0.000,0.000,0.000,0.000,0.377,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.153,0.000,0.153,0.000,0.149,0.000,0.000
1282,0.244,0.000,0.000,0.044,0.000,0.000,0.000,0.000,0.020,0.325,0.000,0.558,0.000,0.000,0.293,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.295,-0.001,0.000,0.000,0.000,0.000,0.377,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.154,0.000,0.154,0.000,0.150,0.000,0.000
1283,0.244,0.000,0.000,0.034,0.000,0.000,0.000,0.000,0.033,0.323,0.000,0.558,0.000,0.000,0.293,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.293,-0.001,0.000,0.000,0.000,0.000,0.377,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.154,0.000,0.154,0.000,0.150,0.000,0.000
1284,0.244,0.000,0.000,0.025,0.000,0.000,0.000,0.000,0.046,0.318,0.000,0.558,0.000,0.000,0.293,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.292,-0.001,0.000,0.000,0.000,0.000,0.377,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.155,0.000,0.155,0.000,0.150,0.000,0.000
