,faceMuscles.frontalis,faceMuscles.currogator,faceMuscles.medFrontalis,faceMuscles.orbOculi,faceMuscles.orbOculi_L,faceMuscles.orbOculi_R,faceMuscles.orbOculi_out,faceMuscles.latFrontalis,faceMuscles.latFrontalis_L,faceMuscles.latFrontalis_R,faceMuscles.LabInf,faceMuscles.zygomatic,faceMuscles.labSup,faceMuscles.labSup_AN,faceMuscles.triangularis,faceMuscles.incisivus,faceMuscles.mentalis,faceMuscles.risoriusPlatysma,faceMuscles.orbOris_loose_lo,faceMuscles.orbOris_loose_hi,faceMuscles.orbOris_tight_lo,faceMuscles.orbOris_tight_hi,faceMuscles.orbOri0s_tight_hi2,faceMuscles.orbOris_tight_lo2,faceMuscles.mouthClose,faceMuscles.orbOculi_lo,faceMuscles.buccinator,faceMuscles.orbOculi_lo_L,faceMuscles.orbOculi_lo_R,faceMuscles.labSup_L,faceMuscles.labSup_R,faceMuscles.zygomatic_L,faceMuscles.zygomatic_R,faceMuscles.risoriusPlatysma_L,faceMuscles.risoriusPlatysma_R,faceMuscles.levAnguliOris,faceMuscles.dilatorNaris,faceMuscles.Zyg_Minor,faceMuscles.mentalis_lowerLip,faceMuscles.triangularis_L,faceMuscles.triangularis_R,faceMuscles.orbOris_up_hi,faceMuscles.jawOpenComp,faceMuscles.blow,jaw.rotateZ,jaw.rotateY,jaw.translateX,blink_ctl.translateY,loBlink_ctl.translateY
2385,0.548,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.043,0.000,0.000,0.189,0.000,0.000,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.286,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,0.281,-0.202
2386,0.548,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.043,0.000,0.000,0.189,0.000,0.000,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.286,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,0.281,-0.202
2387,0.608,0.000,0.003,0.099,0.000,0.000,0.000,0.000,0.043,-0.000,0.000,0.189,0.000,0.000,0.100,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.383,0.000,0.000,0.000,0.000,0.013,0.000,0.013,0.000,0.012,0.277,-0.197
2388,0.668,0.000,0.011,0.099,0.000,0.000,0.000,0.000,0.044,-0.000,0.000,0.189,0.000,0.000,0.210,0.000,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.035,0.000,0.035,0.000,0.034,0.315,-0.192
2389,0.706,0.000,0.021,0.098,0.000,0.000,0.000,0.000,0.044,-0.000,0.000,0.189,0.000,0.000,0.311,0.000,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.543,0.000,0.000,0.000,0.000,0.049,0.000,0.049,0.000,0.047,0.361,-0.207
2390,0.728,0.000,0.032,0.097,0.000,0.000,0.000,0.000,0.044,-0.000,0.000,0.189,0.000,0.000,0.393,0.000,0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.582,0.000,0.000,0.000,0.000,0.051,0.000,0.051,0.000,0.049,0.404,-0.249
2391,0.739,0.000,0.042,0.096,0.000,0.000,0.000,0.000,0.044,-0.000,0.000,0.189,0.000,0.000,0.466,0.000,0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.065,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.616,0.000,0.000,0.000,0.000,0.053,0.000,0.053,0.000,0.051,0.438,-0.303
2392,0.744,0.000,0.047,0.095,0.000,0.000,0.000,0.000,0.044,-0.000,0.000,0.189,0.000,0.000,0.500,0.000,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.084,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.644,0.000,0.000,0.000,0.000,0.055,0.000,0.055,0.000,0.053,0.455,-0.362
2393,0.748,0.000,0.047,0.094,0.000,0.000,0.000,0.000,0.044,-0.000,0.000,0.189,0.000,0.000,0.505,0.000,0.190,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.101,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.668,0.000,0.000,0.000,0.000,0.056,0.000,0.056,0.000,0.054,0.460,-0.419
2394,0.750,0.000,0.048,0.092,0.000,0.000,0.000,0.000,0.045,-0.000,0.000,0.189,0.000,0.000,0.510,0.000,0.194,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.117,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.686,0.000,0.000,0.000,0.000,0.057,0.000,0.057,0.000,0.055,0.459,-0.469
2395,0.751,0.000,0.048,0.091,0.000,0.000,0.000,0.000,0.045,-0.000,0.000,0.189,0.000,0.000,0.515,0.000,0.194,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.700,0.000,0.000,0.000,0.000,0.058,0.000,0.058,0.000,0.056,0.459,-0.501
2396,0.751,0.000,0.048,0.089,0.000,0.000,0.000,0.000,0.045,-0.000,0.000,0.189,0.000,0.000,0.520,0.000,0.190,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.711,0.000,0.000,0.000,0.000,0.058,0.000,0.058,0.000,0.057,0.461,-0.513
2397,0.750,0.000,0.048,0.088,0.000,0.000,0.000,0.000,0.046,-0.001,0.000,0.189,0.000,0.000,0.525,0.000,0.186,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.721,0.000,0.000,0.000,0.000,0.059,0.000,0.059,0.000,0.057,0.463,-0.517
2398,0.748,0.000,0.048,0.087,0.000,0.000,0.000,0.000,0.046,-0.001,0.000,0.189,0.000,0.000,0.530,0.000,0.182,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.730,0.000,0.000,0.000,0.000,0.059,0.000,0.059,0.000,0.057,0.465,-0.520
2399,0.745,0.000,0.048,0.085,0.000,0.000,0.000,0.000,0.046,-0.001,0.000,0.189,0.000,0.000,0.535,0.000,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.144,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.738,0.000,0.000,0.000,0.000,0.059,0.000,0.059,0.000,0.057,0.466,-0.523
2400,0.742,0.000,0.048,0.084,0.000,0.000,0.000,0.000,0.047,-0.001,0.000,0.189,0.000,0.000,0.539,0.000,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.145,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.746,0.000,0.000,0.000,0.000,0.059,0.000,0.059,0.000,0.057,0.465,-0.525
2401,0.739,0.000,0.048,0.083,0.000,0.000,0.000,0.000,0.047,-0.001,0.000,0.189,0.000,0.000,0.544,0.000,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.145,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.753,0.000,0.000,0.000,0.000,0.059,0.000,0.059,0.000,0.057,0.462,-0.527
2402,0.736,0.000,0.047,0.082,0.000,0.000,0.000,0.000,0.047,-0.001,0.000,0.189,0.000,0.000,0.549,0.000,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.146,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.759,0.000,0.000,0.000,0.000,0.059,0.000,0.059,0.000,0.057,0.456,-0.529
2403,0.733,0.000,0.047,0.081,0.000,0.000,0.000,0.000,0.047,-0.001,0.000,0.189,0.000,0.000,0.553,0.000,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.147,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.764,0.000,0.000,0.000,0.000,0.058,0.000,0.058,0.000,0.057,0.446,-0.530
2404,0.731,0.000,0.045,0.080,0.000,0.000,0.000,0.000,0.048,-0.001,0.000,0.189,0.000,0.000,0.557,0.000,0.181,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.147,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.768,0.000,0.000,0.000,0.000,0.058,0.000,0.058,0.000,0.056,0.431,-0.531
2405,0.729,0.000,0.043,0.079,0.000,0.000,0.000,0.000,0.048,-0.001,0.000,0.189,0.000,0.000,0.561,0.000,0.181,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.147,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.772,0.000,0.000,0.000,0.000,0.058,0.000,0.058,0.000,0.056,0.405,-0.531
2406,0.728,0.000,0.040,0.078,0.000,0.000,0.000,0.000,0.048,-0.001,0.000,0.189,0.000,0.000,0.565,0.000,0.181,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.148,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.775,0.000,0.000,0.000,0.000,0.058,0.000,0.058,0.000,0.056,0.366,-0.532
2407,0.731,0.000,0.029,0.078,0.000,0.000,0.000,0.000,0.049,-0.001,0.000,0.189,0.000,0.000,0.568,0.000,0.181,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.148,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.777,0.000,0.000,0.000,0.000,0.057,0.000,0.057,0.000,0.056,0.318,-0.533
2408,0.728,0.000,0.013,0.077,0.000,0.000,0.000,0.000,0.049,-0.001,0.000,0.189,0.000,0.000,0.571,0.000,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.148,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.779,0.000,0.000,0.000,0.000,0.057,0.000,0.057,0.000,0.055,0.269,-0.534
2409,0.704,0.000,0.000,0.077,0.000,0.000,0.000,0.000,0.049,-0.001,0.000,0.189,0.000,0.000,0.574,0.000,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.148,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.779,0.000,0.000,0.000,0.000,0.057,0.000,0.057,0.000,0.055,0.224,-0.534
2410,0.675,0.000,-0.003,0.077,0.000,0.000,0.000,0.000,0.049,-0.001,0.000,0.189,0.000,0.000,0.576,0.000,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.148,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.779,0.000,0.000,0.000,0.000,0.057,0.000,0.057,0.000,0.055,0.190,-0.536
2411,0.638,0.000,-0.003,0.076,0.000,0.000,0.000,0.000,0.049,-0.001,0.000,0.189,0.000,0.000,0.578,0.000,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.148,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.778,0.000,0.000,0.000,0.000,0.057,0.000,0.057,0.000,0.055,0.172,-0.538
