,faceMuscles.frontalis,faceMuscles.currogator,faceMuscles.medFrontalis,faceMuscles.orbOculi,faceMuscles.orbOculi_L,faceMuscles.orbOculi_R,faceMuscles.orbOculi_out,faceMuscles.latFrontalis,faceMuscles.latFrontalis_L,faceMuscles.latFrontalis_R,faceMuscles.LabInf,faceMuscles.zygomatic,faceMuscles.labSup,faceMuscles.labSup_AN,faceMuscles.triangularis,faceMuscles.incisivus,faceMuscles.mentalis,faceMuscles.risoriusPlatysma,faceMuscles.orbOris_loose_lo,faceMuscles.orbOris_loose_hi,faceMuscles.orbOris_tight_lo,faceMuscles.orbOris_tight_hi,faceMuscles.orbOri0s_tight_hi2,faceMuscles.orbOris_tight_lo2,faceMuscles.mouthClose,faceMuscles.orbOculi_lo,faceMuscles.buccinator,faceMuscles.orbOculi_lo_L,faceMuscles.orbOculi_lo_R,faceMuscles.labSup_L,faceMuscles.labSup_R,faceMuscles.zygomatic_L,faceMuscles.zygomatic_R,faceMuscles.risoriusPlatysma_L,faceMuscles.risoriusPlatysma_R,faceMuscles.levAnguliOris,faceMuscles.dilatorNaris,faceMuscles.Zyg_Minor,faceMuscles.mentalis_lowerLip,faceMuscles.triangularis_L,faceMuscles.triangularis_R,faceMuscles.orbOris_up_hi,faceMuscles.jawOpenComp,faceMuscles.blow,jaw.rotateZ,jaw.rotateY,jaw.translateX,blink_ctl.translateY,loBlink_ctl.translateY
2612,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.190,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.310,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,-0.949,0.000
2613,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.190,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.310,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,-0.949,0.000
2614,0.000,0.010,0.000,0.200,0.000,0.000,0.000,0.008,0.030,0.000,0.000,0.000,0.000,0.000,0.183,0.092,0.000,0.000,0.017,0.000,0.000,0.000,0.050,0.036,0.000,0.300,0.036,0.000,0.038,0.000,0.000,0.000,0.140,0.000,0.000,0.000,0.000,0.000,-0.278,0.000,0.000,0.000,0.022,0.000,0.022,0.000,0.021,-0.949,0.000
2615,0.000,0.036,0.000,0.200,0.000,0.000,0.000,0.028,0.106,0.000,0.000,0.000,0.000,0.000,0.166,0.292,0.000,0.000,0.065,0.004,0.000,0.000,0.168,0.116,0.000,0.300,0.123,0.000,0.124,0.000,0.000,0.000,0.399,0.000,0.000,0.000,0.000,0.000,-0.201,0.000,0.000,0.000,0.075,0.000,0.075,0.000,0.072,-0.949,0.000
2616,0.000,0.073,0.000,0.200,0.000,0.000,0.000,0.057,0.205,0.000,0.000,0.000,0.000,0.000,0.141,0.493,0.000,0.000,0.126,0.013,0.000,0.000,0.306,0.195,0.000,0.300,0.227,0.000,0.213,0.000,0.000,0.000,0.538,0.000,0.000,0.000,0.000,0.000,-0.109,0.000,0.000,0.000,0.137,0.000,0.137,0.000,0.133,-0.949,0.000
2617,0.000,0.115,0.000,0.200,0.000,0.000,0.000,0.090,0.304,0.000,0.000,0.000,0.000,0.000,0.111,0.608,0.000,0.000,0.173,0.023,0.000,0.000,0.415,0.232,0.000,0.300,0.314,0.000,0.261,0.000,0.000,0.000,0.538,0.000,0.000,0.000,0.000,0.000,-0.032,0.000,0.000,0.000,0.190,0.000,0.190,0.000,0.184,-0.949,0.000
2618,0.000,0.157,0.000,0.200,0.000,0.000,0.000,0.123,0.380,0.000,0.000,0.000,0.000,0.000,0.079,0.618,0.000,0.000,0.191,0.029,0.000,0.000,0.455,0.219,0.000,0.300,0.350,0.000,0.272,0.000,0.000,0.000,0.538,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.212,0.000,0.212,0.000,0.206,-0.862,0.000
2619,0.000,0.194,0.000,0.200,0.000,0.000,0.000,0.152,0.410,0.000,0.000,0.000,0.000,0.000,0.049,0.508,0.000,0.000,0.144,0.016,0.000,0.000,0.406,0.214,0.000,0.300,0.295,0.000,0.281,0.000,0.000,0.000,0.538,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.168,0.000,0.168,0.000,0.163,-0.658,0.000
2620,0.000,0.220,0.000,0.200,0.000,0.000,0.000,0.172,0.410,0.000,0.000,0.000,0.000,0.000,0.024,0.288,0.000,0.000,0.046,0.002,0.051,0.032,0.356,0.263,0.000,0.300,0.175,0.000,0.287,0.000,0.000,0.000,0.538,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.121,0.000,0.121,0.000,0.117,-0.421,0.000
2621,0.000,0.230,0.000,0.200,0.000,0.000,0.000,0.180,0.410,0.000,0.000,0.000,0.000,0.000,0.007,0.116,0.000,0.000,0.000,0.000,0.147,0.092,0.350,0.335,0.000,0.300,0.055,0.000,0.292,0.000,0.000,0.000,0.538,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.147,0.000,0.147,0.000,0.142,-0.233,0.000
