,faceMuscles.frontalis,faceMuscles.currogator,faceMuscles.medFrontalis,faceMuscles.orbOculi,faceMuscles.orbOculi_L,faceMuscles.orbOculi_R,faceMuscles.orbOculi_out,faceMuscles.latFrontalis,faceMuscles.latFrontalis_L,faceMuscles.latFrontalis_R,faceMuscles.LabInf,faceMuscles.zygomatic,faceMuscles.labSup,faceMuscles.labSup_AN,faceMuscles.triangularis,faceMuscles.incisivus,faceMuscles.mentalis,faceMuscles.risoriusPlatysma,faceMuscles.orbOris_loose_lo,faceMuscles.orbOris_loose_hi,faceMuscles.orbOris_tight_lo,faceMuscles.orbOris_tight_hi,faceMuscles.orbOri0s_tight_hi2,faceMuscles.orbOris_tight_lo2,faceMuscles.mouthClose,faceMuscles.orbOculi_lo,faceMuscles.buccinator,faceMuscles.orbOculi_lo_L,faceMuscles.orbOculi_lo_R,faceMuscles.labSup_L,faceMuscles.labSup_R,faceMuscles.zygomatic_L,faceMuscles.zygomatic_R,faceMuscles.risoriusPlatysma_L,faceMuscles.risoriusPlatysma_R,faceMuscles.levAnguliOris,faceMuscles.dilatorNaris,faceMuscles.Zyg_Minor,faceMuscles.mentalis_lowerLip,faceMuscles.triangularis_L,faceMuscles.triangularis_R,faceMuscles.orbOris_up_hi,faceMuscles.jawOpenComp,faceMuscles.blow,jaw.rotateZ,jaw.rotateY,jaw.translateX,blink_ctl.translateY,loBlink_ctl.translateY
2634,0.230,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.057,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.119,0.000,0.119,0.000,0.116,0.400,0.000
2635,0.225,-0.001,0.183,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.172,0.136,0.018,0.101,0.088,0.000,0.000,0.000,0.022,0.107,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.186,0.000,0.186,0.000,0.181,0.400,0.000
2636,0.220,-0.002,0.366,0.000,0.000,-0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.343,0.389,0.036,0.202,0.104,0.000,0.000,0.000,0.063,0.304,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.220,0.000,0.220,0.000,0.214,0.400,0.000
2637,0.216,-0.002,0.490,0.000,0.000,-0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.460,0.525,0.051,0.270,0.080,0.000,0.000,0.000,0.085,0.411,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.169,0.000,0.169,0.000,0.165,0.400,0.000
2638,0.213,-0.002,0.533,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.500,0.480,0.061,0.293,0.043,0.000,0.000,0.000,0.077,0.375,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.090,0.000,0.090,0.000,0.087,0.403,0.000
2639,0.212,-0.001,0.532,0.000,0.000,-0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.018,0.499,0.380,0.067,0.293,0.024,0.000,0.000,0.000,0.061,0.298,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.051,0.000,0.051,0.000,0.049,0.406,0.000
2640,0.210,-0.000,0.520,0.000,0.000,-0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.026,0.487,0.281,0.075,0.286,0.068,0.000,0.000,0.000,0.045,0.220,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.145,0.000,0.145,0.000,0.141,0.411,0.000
2641,0.207,0.000,0.530,0.000,0.000,-0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.038,0.495,0.235,0.089,0.290,0.114,0.000,0.000,0.000,0.038,0.184,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.241,0.000,0.241,0.000,0.234,0.416,0.000
2642,0.201,0.000,0.550,0.000,0.000,-0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.055,0.512,0.294,0.109,0.300,0.114,0.000,0.000,0.000,0.047,0.230,0.000,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.240,0.000,0.240,0.000,0.234,0.421,0.000
2643,0.196,0.000,0.549,0.000,0.000,-0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.077,0.510,0.435,0.132,0.299,0.107,0.000,0.000,0.000,0.070,0.340,0.000,0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.226,0.000,0.226,0.000,0.220,0.426,0.000
2644,0.189,0.000,0.535,0.000,0.000,-0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.102,0.494,0.603,0.158,0.290,0.096,0.000,0.000,0.000,0.097,0.472,0.000,0.066,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.203,0.000,0.203,0.000,0.197,0.431,0.000
2645,0.183,0.000,0.511,0.000,0.000,-0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.128,0.469,0.743,0.184,0.275,0.083,0.000,0.000,0.000,0.120,0.582,0.000,0.097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.176,0.000,0.176,0.000,0.171,0.437,0.000
2646,0.176,0.000,0.484,0.000,0.000,-0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.154,0.441,0.802,0.210,0.259,0.072,0.000,0.000,0.000,0.129,0.628,0.000,0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.151,0.000,0.151,0.000,0.147,0.441,0.000
2647,0.170,0.000,0.458,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.179,0.415,0.595,0.235,0.244,0.063,0.000,0.000,0.000,0.096,0.465,0.000,0.157,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.134,0.000,0.134,0.000,0.130,0.446,0.000
2648,0.164,0.000,0.441,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.201,0.397,0.387,0.258,0.233,0.061,0.000,0.000,0.000,0.062,0.303,0.000,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.129,0.000,0.129,0.000,0.126,0.449,0.000
2649,0.159,0.000,0.429,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.223,0.384,0.472,0.281,0.226,0.072,0.000,0.000,0.000,0.076,0.370,0.000,0.199,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.151,0.000,0.151,0.000,0.147,0.452,0.000
