,faceMuscles.frontalis,faceMuscles.currogator,faceMuscles.medFrontalis,faceMuscles.orbOculi,faceMuscles.orbOculi_L,faceMuscles.orbOculi_R,faceMuscles.orbOculi_out,faceMuscles.latFrontalis,faceMuscles.latFrontalis_L,faceMuscles.latFrontalis_R,faceMuscles.LabInf,faceMuscles.zygomatic,faceMuscles.labSup,faceMuscles.labSup_AN,faceMuscles.triangularis,faceMuscles.incisivus,faceMuscles.mentalis,faceMuscles.risoriusPlatysma,faceMuscles.orbOris_loose_lo,faceMuscles.orbOris_loose_hi,faceMuscles.orbOris_tight_lo,faceMuscles.orbOris_tight_hi,faceMuscles.orbOri0s_tight_hi2,faceMuscles.orbOris_tight_lo2,faceMuscles.mouthClose,faceMuscles.orbOculi_lo,faceMuscles.buccinator,faceMuscles.orbOculi_lo_L,faceMuscles.orbOculi_lo_R,faceMuscles.labSup_L,faceMuscles.labSup_R,faceMuscles.zygomatic_L,faceMuscles.zygomatic_R,faceMuscles.risoriusPlatysma_L,faceMuscles.risoriusPlatysma_R,faceMuscles.levAnguliOris,faceMuscles.dilatorNaris,faceMuscles.Zyg_Minor,faceMuscles.mentalis_lowerLip,faceMuscles.triangularis_L,faceMuscles.triangularis_R,faceMuscles.orbOris_up_hi,faceMuscles.jawOpenComp,faceMuscles.blow,jaw.rotateZ,jaw.rotateY,jaw.translateX,blink_ctl.translateY,loBlink_ctl.translateY
2611,0.400,0.000,0.330,0.000,0.000,0.000,0.000,0.150,0.000,0.000,0.530,0.000,0.000,0.000,0.400,0.000,0.000,0.320,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,0.424,-0.692
2612,0.400,0.000,0.330,0.000,0.000,0.000,0.000,0.150,0.000,0.000,0.530,0.000,0.000,0.000,0.400,0.000,0.000,0.320,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,0.424,-0.692
2613,0.400,0.000,0.330,0.000,0.000,0.000,0.000,0.150,0.000,0.000,0.530,0.000,0.000,0.000,0.400,0.000,0.000,0.320,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,0.424,-0.692
2614,0.385,0.000,0.326,0.000,0.000,0.000,0.000,0.152,0.000,0.000,0.501,0.000,0.000,0.000,0.397,0.000,0.000,0.320,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.005,0.000,0.005,0.424,-0.686
2615,0.295,0.000,0.260,0.000,0.000,0.000,0.000,0.157,0.000,0.000,0.425,0.000,0.000,0.000,0.390,0.000,0.000,0.320,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.000,0.019,0.000,0.018,0.424,-0.671
2616,0.165,0.000,0.258,0.000,0.000,0.000,0.000,0.163,0.000,0.000,0.321,0.000,0.000,0.000,0.380,0.000,0.000,0.320,0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.039,0.000,0.039,0.000,0.038,0.424,-0.646
2617,0.061,0.000,0.325,0.000,0.000,0.000,0.000,0.168,0.000,0.000,0.209,0.000,0.000,0.000,0.370,0.000,0.000,0.320,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.062,0.000,0.062,0.000,0.061,0.424,-0.613
2618,0.000,0.000,0.380,0.000,0.000,0.000,0.000,0.170,0.000,0.000,0.105,0.000,0.000,0.000,0.360,0.000,0.000,0.320,0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.087,0.000,0.087,0.000,0.085,0.424,-0.571
2619,0.000,0.000,0.380,0.000,0.000,0.000,0.000,0.170,0.000,0.000,0.029,0.000,0.000,0.000,0.353,0.000,0.000,0.312,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.111,0.000,0.111,0.000,0.108,0.424,-0.522
2620,0.000,0.000,0.380,0.000,0.000,0.000,0.000,0.170,0.000,0.000,0.000,0.000,0.000,0.000,0.350,0.000,0.000,0.290,0.062,0.000,0.000,0.000,0.000,0.000,0.000,0.240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.131,0.000,0.131,0.000,0.127,0.424,-0.467
