,faceMuscles.frontalis,faceMuscles.currogator,faceMuscles.medFrontalis,faceMuscles.orbOculi,faceMuscles.orbOculi_L,faceMuscles.orbOculi_R,faceMuscles.orbOculi_out,faceMuscles.latFrontalis,faceMuscles.latFrontalis_L,faceMuscles.latFrontalis_R,faceMuscles.LabInf,faceMuscles.zygomatic,faceMuscles.labSup,faceMuscles.labSup_AN,faceMuscles.triangularis,faceMuscles.incisivus,faceMuscles.mentalis,faceMuscles.risoriusPlatysma,faceMuscles.orbOris_loose_lo,faceMuscles.orbOris_loose_hi,faceMuscles.orbOris_tight_lo,faceMuscles.orbOris_tight_hi,faceMuscles.orbOri0s_tight_hi2,faceMuscles.orbOris_tight_lo2,faceMuscles.mouthClose,faceMuscles.orbOculi_lo,faceMuscles.buccinator,faceMuscles.orbOculi_lo_L,faceMuscles.orbOculi_lo_R,faceMuscles.labSup_L,faceMuscles.labSup_R,faceMuscles.zygomatic_L,faceMuscles.zygomatic_R,faceMuscles.risoriusPlatysma_L,faceMuscles.risoriusPlatysma_R,faceMuscles.levAnguliOris,faceMuscles.dilatorNaris,faceMuscles.Zyg_Minor,faceMuscles.mentalis_lowerLip,faceMuscles.triangularis_L,faceMuscles.triangularis_R,faceMuscles.orbOris_up_hi,faceMuscles.jawOpenComp,faceMuscles.blow,jaw.rotateZ,jaw.rotateY,jaw.translateX,blink_ctl.translateY,loBlink_ctl.translateY
2714,0.006,0.000,0.070,0.200,0.054,0.054,0.000,0.000,0.540,0.000,0.093,0.545,0.000,0.224,0.000,0.000,0.000,0.000,0.047,0.000,0.000,0.000,-0.295,0.000,0.690,0.084,0.000,0.000,0.261,0.000,0.000,0.140,0.268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.100,0.000,0.097,0.088,0.000
2715,0.006,0.000,0.070,0.200,0.000,0.000,0.000,0.000,0.540,0.000,0.134,0.573,0.000,0.000,0.000,0.000,0.000,0.000,0.051,0.000,0.000,0.000,-0.455,0.000,0.690,0.140,0.000,0.000,0.261,0.000,0.000,0.140,0.268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.107,0.000,0.107,0.000,0.104,0.084,0.000
2716,0.032,0.000,0.070,0.200,0.000,0.000,0.000,0.000,0.540,0.000,0.180,0.688,0.000,0.000,0.000,0.000,0.000,0.002,0.059,0.000,0.000,0.000,-0.602,0.000,0.623,0.223,0.000,0.000,0.261,0.000,0.000,0.140,0.268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.121,0.074,0.000
2717,0.093,0.000,0.070,0.200,0.000,0.000,0.000,0.000,0.540,0.000,0.232,0.802,0.000,0.000,0.000,0.000,0.000,0.007,0.068,0.000,0.000,0.000,-0.709,0.000,0.462,0.266,0.000,0.000,0.261,0.000,0.000,0.140,0.268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.145,0.000,0.145,0.000,0.140,0.061,0.000
2718,0.163,0.000,0.070,0.200,0.000,0.000,0.000,0.000,0.540,0.000,0.295,0.876,0.000,0.000,0.000,0.000,0.000,0.015,0.076,0.000,0.000,0.000,-0.750,0.000,0.266,0.310,0.000,0.000,0.261,0.000,0.000,0.140,0.268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.160,0.000,0.160,0.000,0.156,0.045,0.000
2719,0.218,0.000,0.070,0.200,0.000,0.000,0.000,0.000,0.540,0.000,0.363,0.917,0.000,0.000,0.000,0.000,0.000,0.022,0.080,0.000,0.000,0.000,-0.750,0.000,0.093,0.372,0.000,0.000,0.261,0.000,0.000,0.140,0.268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.169,0.000,0.169,0.000,0.164,0.028,0.000
2720,0.252,0.000,0.070,0.200,0.000,0.000,0.000,0.000,0.540,0.000,0.432,0.925,0.000,0.000,0.000,0.000,0.000,0.028,0.083,0.000,0.000,0.000,-0.750,0.000,0.003,0.505,0.000,0.000,0.261,0.000,0.000,0.140,0.268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.174,0.000,0.174,0.000,0.170,0.010,0.000
2721,0.273,0.000,0.070,0.200,0.000,0.000,0.000,0.000,0.540,0.000,0.498,0.930,0.000,0.000,0.000,0.000,0.000,0.032,0.083,0.000,0.000,0.000,-0.750,0.000,0.000,0.614,0.000,0.000,0.261,0.000,0.000,0.140,0.268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.176,0.000,0.176,0.000,0.171,-0.007,0.000
2722,0.281,0.000,0.070,0.200,0.000,0.000,0.000,0.000,0.540,0.000,0.558,0.937,0.000,0.000,0.000,0.000,0.000,0.033,0.084,0.000,0.000,0.000,-0.750,0.000,0.000,0.639,0.000,0.000,0.261,0.000,0.000,0.140,0.268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.176,0.000,0.176,0.000,0.171,-0.021,0.000
2723,0.281,0.000,0.070,0.200,0.000,0.000,0.000,0.000,0.540,0.000,0.605,0.942,0.000,0.000,0.000,0.000,0.000,0.034,0.084,0.000,0.000,0.000,-0.750,0.000,0.000,0.652,0.000,0.000,0.261,0.000,0.000,0.140,0.268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.177,0.000,0.177,0.000,0.172,-0.032,0.000
2724,0.281,0.000,0.070,0.200,0.000,0.000,0.000,0.000,0.540,0.000,0.637,0.942,0.000,0.000,0.000,0.000,0.000,0.034,0.082,0.000,0.000,0.000,-0.750,0.000,0.000,0.655,0.000,0.000,0.261,0.000,0.000,0.140,0.268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.172,0.000,0.172,0.000,0.168,-0.039,0.000
2725,0.281,0.000,0.070,0.200,0.000,0.000,0.000,0.000,0.540,0.000,0.649,0.938,0.000,0.000,0.000,0.000,0.000,0.034,0.077,0.000,0.000,0.000,-0.750,0.000,0.000,0.649,0.000,0.000,0.261,0.000,0.000,0.140,0.268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.162,0.000,0.162,0.000,0.157,-0.040,0.000
2726,0.281,0.000,0.070,0.200,0.000,0.000,0.000,0.000,0.540,0.000,0.649,0.926,0.000,0.000,0.000,0.000,0.000,0.033,0.070,0.000,0.000,0.000,-0.750,0.000,0.000,0.635,0.000,0.000,0.261,0.000,0.000,0.140,0.268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.148,0.000,0.148,0.000,0.144,-0.033,0.000
