,faceMuscles.frontalis,faceMuscles.currogator,faceMuscles.medFrontalis,faceMuscles.orbOculi,faceMuscles.orbOculi_L,faceMuscles.orbOculi_R,faceMuscles.orbOculi_out,faceMuscles.latFrontalis,faceMuscles.latFrontalis_L,faceMuscles.latFrontalis_R,faceMuscles.LabInf,faceMuscles.zygomatic,faceMuscles.labSup,faceMuscles.labSup_AN,faceMuscles.triangularis,faceMuscles.incisivus,faceMuscles.mentalis,faceMuscles.risoriusPlatysma,faceMuscles.orbOris_loose_lo,faceMuscles.orbOris_loose_hi,faceMuscles.orbOris_tight_lo,faceMuscles.orbOris_tight_hi,faceMuscles.orbOri0s_tight_hi2,faceMuscles.orbOris_tight_lo2,faceMuscles.mouthClose,faceMuscles.orbOculi_lo,faceMuscles.buccinator,faceMuscles.orbOculi_lo_L,faceMuscles.orbOculi_lo_R,faceMuscles.labSup_L,faceMuscles.labSup_R,faceMuscles.zygomatic_L,faceMuscles.zygomatic_R,faceMuscles.risoriusPlatysma_L,faceMuscles.risoriusPlatysma_R,faceMuscles.levAnguliOris,faceMuscles.dilatorNaris,faceMuscles.Zyg_Minor,faceMuscles.mentalis_lowerLip,faceMuscles.triangularis_L,faceMuscles.triangularis_R,faceMuscles.orbOris_up_hi,faceMuscles.jawOpenComp,faceMuscles.blow,jaw.rotateZ,jaw.rotateY,jaw.translateX,blink_ctl.translateY,loBlink_ctl.translateY
0,0.146,0.370,0.178,-0.030,0.000,0.190,0.120,0.000,0.000,-0.070,0.400,0.079,0.000,0.230,0.181,0.078,0.195,0.150,0.060,0.070,0.000,0.000,0.000,0.390,0.000,0.100,0.210,0.000,0.000,0.000,0.000,0.000,0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.207,0.000,0.207,0.000,0.202,-0.805,-1.000
1,0.146,0.370,0.178,-0.030,0.000,0.190,0.120,0.000,0.000,-0.070,0.400,0.079,0.000,0.230,0.181,0.078,0.195,0.150,0.060,0.070,0.000,0.000,0.000,0.390,0.000,0.100,0.210,0.000,0.000,0.000,0.000,0.000,0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.207,0.000,0.207,0.000,0.202,-0.805,-1.000
2,0.139,0.376,0.173,-0.020,0.000,0.193,0.126,0.000,0.000,-0.077,0.338,0.190,0.000,0.252,0.166,0.065,0.210,0.127,0.050,0.059,0.000,0.016,0.030,0.329,0.000,0.111,0.235,0.000,0.000,0.000,0.000,0.000,0.190,0.000,0.000,0.000,0.000,0.000,0.125,0.035,0.000,0.000,0.214,0.000,0.214,0.008,0.208,-0.996,-1.000
3,0.123,0.391,0.161,0.006,0.000,0.202,0.140,0.000,0.000,-0.096,0.200,0.302,0.000,0.277,0.135,0.037,0.250,0.075,0.030,0.035,0.000,0.050,0.095,0.195,0.000,0.138,0.293,0.000,0.000,0.000,0.000,0.000,0.221,0.000,0.000,0.000,0.000,0.000,0.400,0.112,0.000,0.000,0.228,0.000,0.228,0.027,0.222,-1.000,-1.000
4,0.100,0.413,0.143,0.041,0.000,0.214,0.159,0.000,0.000,-0.120,0.062,0.387,0.000,0.303,0.104,0.011,0.306,0.023,0.009,0.011,0.000,0.084,0.160,0.061,0.000,0.175,0.362,0.000,0.000,0.000,0.000,0.000,0.244,0.000,0.000,0.000,0.000,0.000,0.675,0.189,0.000,0.000,0.244,0.000,0.244,0.046,0.237,-1.000,-1.000
5,0.073,0.437,0.123,0.079,0.000,0.226,0.181,0.000,0.000,-0.144,0.000,0.441,0.000,0.329,0.090,0.000,0.371,0.000,0.000,0.000,0.000,0.100,0.190,0.000,0.000,0.215,0.416,0.000,0.000,0.000,0.000,0.000,0.255,0.000,0.000,0.000,0.000,0.000,0.800,0.224,0.000,0.000,0.251,0.000,0.251,0.054,0.245,-1.000,-1.000
6,0.046,0.462,0.103,0.114,0.000,0.238,0.200,0.000,0.000,-0.163,0.000,0.481,0.000,0.352,0.090,0.000,0.436,0.000,0.027,0.000,0.000,0.099,0.160,0.044,0.000,0.252,0.454,0.000,0.000,0.000,0.000,0.000,0.259,0.000,0.000,0.000,0.038,0.000,0.800,0.224,0.000,0.000,0.251,0.000,0.251,0.054,0.245,-1.000,-1.000
7,0.023,0.482,0.086,0.140,0.000,0.247,0.214,0.000,0.000,-0.170,0.000,0.506,0.000,0.370,0.090,0.000,0.493,0.000,0.085,0.000,0.000,0.098,0.095,0.140,0.000,0.279,0.487,0.000,0.000,0.000,0.000,0.000,0.260,0.000,0.000,0.000,0.120,0.000,0.800,0.224,0.000,0.000,0.251,0.000,0.251,0.054,0.245,-1.000,-1.000
8,0.006,0.500,0.073,0.150,0.000,0.250,0.220,0.000,0.000,-0.170,0.000,0.514,0.000,0.383,0.090,0.000,0.533,0.000,0.143,0.000,0.000,0.095,0.030,0.236,0.000,0.290,0.511,0.000,0.000,0.000,0.000,0.000,0.260,0.000,0.000,0.000,0.203,0.000,0.800,0.224,0.000,0.000,0.251,0.000,0.251,0.054,0.245,-1.000,-1.000
9,0.000,0.510,0.069,0.150,0.000,0.250,0.220,0.000,0.000,-0.170,0.000,0.514,0.000,0.387,0.090,0.000,0.548,0.000,0.170,0.000,0.000,0.091,0.000,0.280,0.000,0.290,0.520,0.000,0.000,0.000,0.000,0.000,0.260,0.000,0.000,0.000,0.240,0.000,0.800,0.224,0.000,0.000,0.251,0.000,0.251,0.054,0.245,-1.000,-1.000
