,faceMuscles.frontalis,faceMuscles.currogator,faceMuscles.medFrontalis,faceMuscles.orbOculi,faceMuscles.orbOculi_L,faceMuscles.orbOculi_R,faceMuscles.orbOculi_out,faceMuscles.latFrontalis,faceMuscles.latFrontalis_L,faceMuscles.latFrontalis_R,faceMuscles.LabInf,faceMuscles.zygomatic,faceMuscles.labSup,faceMuscles.labSup_AN,faceMuscles.triangularis,faceMuscles.incisivus,faceMuscles.mentalis,faceMuscles.risoriusPlatysma,faceMuscles.orbOris_loose_lo,faceMuscles.orbOris_loose_hi,faceMuscles.orbOris_tight_lo,faceMuscles.orbOris_tight_hi,faceMuscles.orbOri0s_tight_hi2,faceMuscles.orbOris_tight_lo2,faceMuscles.mouthClose,faceMuscles.orbOculi_lo,faceMuscles.buccinator,faceMuscles.orbOculi_lo_L,faceMuscles.orbOculi_lo_R,faceMuscles.labSup_L,faceMuscles.labSup_R,faceMuscles.zygomatic_L,faceMuscles.zygomatic_R,faceMuscles.risoriusPlatysma_L,faceMuscles.risoriusPlatysma_R,faceMuscles.levAnguliOris,faceMuscles.dilatorNaris,faceMuscles.Zyg_Minor,faceMuscles.mentalis_lowerLip,faceMuscles.triangularis_L,faceMuscles.triangularis_R,faceMuscles.orbOris_up_hi,faceMuscles.jawOpenComp,faceMuscles.blow,jaw.rotateZ,jaw.rotateY,jaw.translateX,blink_ctl.translateY,loBlink_ctl.translateY
2727,0.432,0.000,0.463,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.045,0.000,0.000,0.000,0.000,0.000,0.800,0.000,0.027,0.000,0.155,0.097,0.155,0.097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.159,0.000,0.159,0.000,0.154,0.000,0.000
2728,0.293,0.000,0.463,0.195,0.000,0.000,0.000,0.000,0.000,0.000,0.178,0.000,0.000,0.112,0.000,0.000,0.800,0.003,0.043,0.000,0.097,0.060,0.097,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.160,0.000,0.000,0.000,0.000,0.190,0.000,0.190,0.000,0.185,0.135,0.000
2729,0.154,0.000,0.463,0.340,0.000,0.000,0.000,0.000,0.000,0.000,0.395,0.000,0.000,0.200,0.000,0.000,0.800,0.019,0.032,0.000,0.063,0.039,0.063,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.284,0.000,0.000,0.000,0.000,0.198,0.000,0.198,0.000,0.192,0.430,0.000
2730,0.091,0.000,0.463,0.370,0.000,0.000,0.000,0.000,0.000,0.000,0.575,0.000,0.000,0.224,0.000,0.000,0.800,0.051,0.011,0.000,0.044,0.027,0.044,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.316,0.000,0.000,0.000,0.000,0.186,0.000,0.186,0.000,0.181,0.724,0.000
2731,0.087,0.000,0.463,0.355,0.000,0.000,0.000,0.000,0.000,0.000,0.640,0.000,0.000,0.200,0.000,0.000,0.800,0.071,0.000,0.000,0.034,0.021,0.034,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.284,0.000,0.000,0.000,0.000,0.175,0.000,0.175,0.000,0.170,0.724,0.000
2732,0.080,0.000,0.463,0.340,0.000,0.000,0.000,0.000,0.000,0.000,0.634,0.000,0.000,0.055,0.000,0.000,0.800,0.069,0.000,0.000,0.031,0.019,0.031,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.206,0.000,0.000,0.000,0.000,0.173,0.000,0.173,0.000,0.169,0.724,0.000
2733,0.076,0.000,0.464,0.340,0.000,0.000,0.000,0.000,0.000,0.000,0.605,0.000,0.000,0.080,0.000,0.000,0.800,0.060,0.000,0.000,0.031,0.019,0.031,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.103,0.000,0.000,0.000,0.000,0.167,0.000,0.167,0.000,0.162,0.724,0.000
2734,0.072,0.000,0.465,0.340,0.000,0.000,0.000,0.000,0.000,0.000,0.535,0.000,0.000,0.134,0.000,0.000,0.800,0.042,0.000,0.000,0.031,0.019,0.031,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.151,0.000,0.151,0.000,0.147,0.724,0.000
2735,0.070,0.000,0.468,0.340,0.000,0.000,0.000,0.000,0.000,0.000,0.453,0.000,0.000,0.134,0.000,0.000,0.800,0.027,0.000,0.000,0.031,0.019,0.031,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.132,0.000,0.132,0.000,0.128,0.724,0.000
2736,0.065,0.000,0.470,0.340,0.000,0.000,0.000,0.000,0.000,0.000,0.410,0.000,0.000,0.134,0.000,0.000,0.800,0.021,0.000,0.000,0.031,0.019,0.031,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.122,0.000,0.122,0.000,0.119,0.724,0.000
