,faceMuscles.frontalis,faceMuscles.currogator,faceMuscles.medFrontalis,faceMuscles.orbOculi,faceMuscles.orbOculi_L,faceMuscles.orbOculi_R,faceMuscles.orbOculi_out,faceMuscles.latFrontalis,faceMuscles.latFrontalis_L,faceMuscles.latFrontalis_R,faceMuscles.LabInf,faceMuscles.zygomatic,faceMuscles.labSup,faceMuscles.labSup_AN,faceMuscles.triangularis,faceMuscles.incisivus,faceMuscles.mentalis,faceMuscles.risoriusPlatysma,faceMuscles.orbOris_loose_lo,faceMuscles.orbOris_loose_hi,faceMuscles.orbOris_tight_lo,faceMuscles.orbOris_tight_hi,faceMuscles.orbOri0s_tight_hi2,faceMuscles.orbOris_tight_lo2,faceMuscles.mouthClose,faceMuscles.orbOculi_lo,faceMuscles.buccinator,faceMuscles.orbOculi_lo_L,faceMuscles.orbOculi_lo_R,faceMuscles.labSup_L,faceMuscles.labSup_R,faceMuscles.zygomatic_L,faceMuscles.zygomatic_R,faceMuscles.risoriusPlatysma_L,faceMuscles.risoriusPlatysma_R,faceMuscles.levAnguliOris,faceMuscles.dilatorNaris,faceMuscles.Zyg_Minor,faceMuscles.mentalis_lowerLip,faceMuscles.triangularis_L,faceMuscles.triangularis_R,faceMuscles.orbOris_up_hi,faceMuscles.jawOpenComp,faceMuscles.blow,jaw.rotateZ,jaw.rotateY,jaw.translateX,blink_ctl.translateY,loBlink_ctl.translateY
-20,0.976,0.580,0.081,-0.230,0.000,0.000,0.000,0.000,0.000,0.000,0.395,0.040,0.270,0.640,0.392,0.000,0.081,0.487,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.196,0.000,0.000,0.000,0.000,0.422,0.000,0.422,0.000,0.411,0.932,0.664
-19,0.976,0.580,0.081,-0.230,0.000,0.000,0.000,0.000,0.000,0.000,0.395,0.040,0.270,0.640,0.392,0.000,0.081,0.487,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.196,0.000,0.000,0.000,0.000,0.422,0.000,0.422,0.000,0.411,0.932,0.664
-18,0.976,0.580,0.081,-0.230,0.000,0.000,0.000,0.000,0.000,0.000,0.395,0.040,0.270,0.640,0.392,0.000,0.081,0.487,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.196,0.000,0.000,0.000,0.000,0.422,0.000,0.422,0.000,0.411,0.932,0.664
-17,0.976,0.580,0.081,-0.230,0.000,0.000,0.000,0.000,0.000,0.000,0.395,0.040,0.270,0.640,0.392,0.000,0.081,0.487,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.196,0.000,0.000,0.000,0.000,0.422,0.000,0.422,0.000,0.411,0.932,0.664
-16,0.976,0.580,0.081,-0.230,0.000,0.000,0.000,0.000,0.000,0.000,0.395,0.040,0.270,0.640,0.392,0.000,0.081,0.487,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.196,0.000,0.000,0.000,0.000,0.422,0.000,0.422,0.000,0.411,0.932,0.664
-15,0.976,0.580,0.081,-0.230,0.000,0.000,0.000,0.000,0.000,0.000,0.395,0.040,0.270,0.640,0.392,0.000,0.081,0.487,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.196,0.000,0.000,0.000,0.000,0.422,0.000,0.422,0.000,0.411,0.932,0.664
-14,0.976,0.580,0.081,-0.230,0.000,0.000,0.000,0.000,0.000,0.000,0.395,0.040,0.270,0.640,0.392,0.000,0.081,0.487,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.196,0.000,0.000,0.000,0.000,0.422,0.000,0.422,0.000,0.411,0.932,0.664
-13,0.976,0.580,0.081,-0.230,0.000,0.000,0.000,0.000,0.000,0.000,0.395,0.040,0.270,0.640,0.392,0.000,0.081,0.487,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.196,0.000,0.000,0.000,0.000,0.422,0.000,0.422,0.000,0.411,0.932,0.664
-12,0.976,0.580,0.081,-0.230,0.000,0.000,0.000,0.000,0.000,0.000,0.395,0.040,0.270,0.640,0.392,0.000,0.081,0.487,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.196,0.000,0.000,0.000,0.000,0.422,0.000,0.422,0.000,0.411,0.932,0.664
-11,0.976,0.580,0.081,-0.230,0.000,0.000,0.000,0.000,0.000,0.000,0.395,0.040,0.270,0.640,0.392,0.000,0.081,0.487,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.196,0.000,0.000,0.000,0.000,0.422,0.000,0.422,0.000,0.411,0.932,0.664
