,faceMuscles.frontalis,faceMuscles.currogator,faceMuscles.medFrontalis,faceMuscles.orbOculi,faceMuscles.orbOculi_L,faceMuscles.orbOculi_R,faceMuscles.orbOculi_out,faceMuscles.latFrontalis,faceMuscles.latFrontalis_L,faceMuscles.latFrontalis_R,faceMuscles.LabInf,faceMuscles.zygomatic,faceMuscles.labSup,faceMuscles.labSup_AN,faceMuscles.triangularis,faceMuscles.incisivus,faceMuscles.mentalis,faceMuscles.risoriusPlatysma,faceMuscles.orbOris_loose_lo,faceMuscles.orbOris_loose_hi,faceMuscles.orbOris_tight_lo,faceMuscles.orbOris_tight_hi,faceMuscles.orbOri0s_tight_hi2,faceMuscles.orbOris_tight_lo2,faceMuscles.mouthClose,faceMuscles.orbOculi_lo,faceMuscles.buccinator,faceMuscles.orbOculi_lo_L,faceMuscles.orbOculi_lo_R,faceMuscles.labSup_L,faceMuscles.labSup_R,faceMuscles.zygomatic_L,faceMuscles.zygomatic_R,faceMuscles.risoriusPlatysma_L,faceMuscles.risoriusPlatysma_R,faceMuscles.levAnguliOris,faceMuscles.dilatorNaris,faceMuscles.Zyg_Minor,faceMuscles.mentalis_lowerLip,faceMuscles.triangularis_L,faceMuscles.triangularis_R,faceMuscles.orbOris_up_hi,faceMuscles.jawOpenComp,faceMuscles.blow,jaw.rotateZ,jaw.rotateY,jaw.translateX,blink_ctl.translateY,loBlink_ctl.translateY
2087,0.155,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.450,0.000,0.459,0.083,0.000,0.000,0.000,0.000,0.000,0.018,0.215,0.162,0.000,0.000,0.000,0.000,0.000,0.910,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.148,0.000,0.148,0.000,0.267,0.000,0.000
2088,0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.450,0.000,0.286,0.087,0.000,0.000,0.000,0.000,0.000,0.045,0.162,0.077,0.000,0.000,0.000,0.000,0.000,0.910,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.264,0.000,0.000,0.000,0.000,0.248,0.000,0.248,0.000,0.299,0.000,0.000
2089,0.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.450,0.000,0.158,0.098,0.000,0.000,0.000,0.000,0.000,0.063,0.127,0.020,0.000,0.000,0.000,0.000,0.000,0.910,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.270,0.000,0.000,0.000,0.000,0.305,0.000,0.305,0.000,0.312,0.002,0.000
2090,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.450,0.000,0.114,0.108,0.000,0.000,0.000,0.000,0.000,0.069,0.114,0.000,0.000,0.000,0.000,0.000,0.000,0.910,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.258,0.000,0.000,0.000,0.000,0.324,0.000,0.324,0.000,0.315,0.004,0.000
2091,0.066,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.450,0.000,0.102,0.094,0.000,0.000,0.000,0.137,0.000,0.062,0.174,0.055,0.028,0.000,0.003,0.000,0.000,0.910,0.000,0.000,0.000,0.000,0.000,0.474,0.001,0.000,0.000,0.000,0.000,0.229,0.000,0.000,0.000,0.000,0.305,0.000,0.305,0.000,0.297,0.007,0.000
2092,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.450,0.000,0.054,0.046,0.000,0.000,0.000,0.283,0.000,0.033,0.263,0.159,0.060,0.000,0.011,0.000,0.000,0.910,0.000,0.000,0.000,0.000,0.000,0.451,0.002,0.000,0.000,0.000,0.000,0.191,0.000,0.000,0.000,0.000,0.189,0.000,0.189,0.000,0.183,0.010,0.000
2093,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.450,0.000,0.013,0.005,0.000,0.000,0.000,0.375,0.000,0.008,0.260,0.160,0.060,0.000,0.011,0.000,0.000,0.910,0.000,0.000,0.000,0.000,0.000,0.427,0.003,0.000,0.000,0.000,0.000,0.153,0.000,0.000,0.000,0.000,0.118,0.000,0.118,0.000,0.114,0.014,0.000
2094,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.446,0.000,0.007,-0.002,0.000,0.000,0.000,0.456,0.000,0.004,0.297,0.164,0.060,0.000,0.011,0.000,0.000,0.910,0.000,0.000,0.000,0.000,0.000,0.409,0.004,0.000,0.000,0.000,0.000,0.124,0.000,0.000,0.000,0.000,0.147,0.000,0.147,0.000,0.143,0.019,0.000
2095,0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.440,0.000,0.136,0.119,0.000,0.000,0.000,0.000,0.000,0.082,0.136,0.000,0.000,0.000,0.000,0.000,0.000,0.910,0.000,0.000,0.000,0.000,0.000,0.402,0.005,0.000,0.000,0.000,0.000,0.112,0.000,0.000,0.000,0.000,0.385,0.000,0.385,0.000,0.375,0.024,0.000
2096,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.439,0.000,0.291,0.090,0.000,0.000,0.000,0.000,0.000,0.061,0.179,0.069,0.000,0.000,0.000,0.000,0.000,0.910,0.000,0.000,0.000,0.000,0.000,0.442,0.005,0.000,0.000,0.000,0.000,0.047,0.000,0.000,0.000,0.000,0.320,0.000,0.320,0.000,0.363,0.029,0.000
2097,0.210,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.450,0.000,0.529,0.033,0.000,0.000,0.000,0.000,0.000,0.021,0.260,0.197,0.000,0.000,0.000,0.000,0.000,0.910,0.000,0.000,0.000,0.000,0.000,0.482,0.000,0.000,0.000,0.000,0.000,0.021,0.000,0.000,0.000,0.000,0.170,0.000,0.170,0.000,0.315,0.035,0.000
2098,0.223,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.479,0.000,0.549,-0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.304,0.266,0.000,0.000,0.000,0.000,0.000,0.910,0.000,0.000,0.000,0.000,0.000,0.438,-0.001,0.000,0.000,0.000,0.000,0.324,0.000,0.000,0.000,0.000,0.074,0.000,0.074,0.000,0.274,0.041,0.000
2099,0.227,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.521,0.000,0.562,0.004,0.000,0.000,0.000,0.000,0.000,0.002,0.304,0.270,0.000,0.000,0.000,0.000,0.000,0.910,0.000,0.000,0.000,0.000,0.000,0.390,0.000,0.000,0.000,0.000,0.000,0.427,0.000,0.000,0.000,0.000,0.096,0.000,0.096,0.000,0.293,0.048,0.000
2100,0.225,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.566,0.000,0.579,0.014,0.000,0.000,0.000,0.000,0.000,0.008,0.286,0.259,0.000,0.000,0.000,0.000,0.000,0.910,0.000,0.000,0.000,0.000,0.000,0.385,0.000,0.000,0.000,0.000,0.000,0.446,0.000,0.000,0.000,0.000,0.143,0.000,0.143,0.000,0.320,0.054,0.000
2101,0.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.606,0.000,0.510,0.023,0.000,0.000,0.000,0.000,0.000,0.014,0.221,0.202,0.000,0.000,0.000,0.000,0.000,0.910,0.000,0.000,0.000,0.000,0.000,0.382,0.000,0.000,0.000,0.000,0.000,0.490,0.000,0.000,0.000,0.000,0.175,0.000,0.175,0.000,0.303,0.061,0.000
2102,0.210,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.630,0.000,0.298,0.029,0.000,0.000,0.000,0.070,0.000,0.018,0.154,0.126,0.015,0.000,0.001,0.000,0.000,0.910,0.000,0.000,0.000,0.000,0.000,0.380,-0.000,0.000,0.000,0.000,0.000,0.533,0.000,0.000,0.000,0.000,0.169,0.000,0.169,0.000,0.231,0.068,0.000
2103,0.197,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.646,0.000,0.110,0.033,0.000,0.000,0.000,0.256,0.000,0.021,0.247,0.171,0.054,0.000,0.009,0.000,0.000,0.910,0.000,0.000,0.000,0.000,0.000,0.380,0.000,0.000,0.000,0.000,0.000,0.552,0.000,0.000,0.000,0.000,0.155,0.000,0.155,0.000,0.170,0.075,0.000
